jcost;jcost2;jcost3;jcostbal;jcap;backup;;balav21;balshort21;ballong21;balpos21;balneg21;;balav20;balshort20;ballong20;;balav19;balshort19;ballong19
45.318;65.318;85.318;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.32;65.32;85.32;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.322;65.322;85.322;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.324;65.324;85.324;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.326;65.326;85.326;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.328;65.328;85.328;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.33;65.33;85.33;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.332;65.332;85.332;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.334;65.334;85.334;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.336;65.336;85.336;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.338;65.338;85.338;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.34;65.34;85.34;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.342;65.342;85.342;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.344;65.344;85.344;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.346;65.346;85.346;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.348;65.348;85.348;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.35;65.35;85.35;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.352;65.352;85.352;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.354;65.354;85.354;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.356;65.356;85.356;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.358;65.358;85.358;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.36;65.36;85.36;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.362;65.362;85.362;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.364;65.364;85.364;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.366;65.366;85.366;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.368;65.368;85.368;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.37;65.37;85.37;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.372;65.372;85.372;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.374;65.374;85.374;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.376;65.376;85.376;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.378;65.378;85.378;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.38;65.38;85.38;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.382;65.382;85.382;70;2;;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
